name,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,month,id,Earn,Category
TheShining,Drama,1980,8.4,927000.0,StanleyKubrick,StephenKing,JackNicholson,UnitedKingdom,19000000.0,46998772.0,WarnerBros,146.0,June,0,27998772,masterpiece
TheBlueLagoon,Adventure,1980,5.8,65000.0,RandalKleiser,HenryDeVereStacpoole,BrookeShields,UnitedStates,4500000.0,58853106.0,ColumbiaPictures,104.0,July,1,54353106,masterpiece
StarWars:EpisodeV-TheEmpireStrikesBack,Action,1980,8.7,1200000.0,IrvinKershner,LeighBrackett,MarkHamill,UnitedStates,18000000.0,538375067.0,Lucasfilm,124.0,June,2,520375067,masterpiece
Airplane!,Comedy,1980,7.7,221000.0,JimAbrahams,JimAbrahams,RobertHays,UnitedStates,3500000.0,83453539.0,ParamountPictures,88.0,July,3,79953539,masterpiece
Caddyshack,Comedy,1980,7.3,108000.0,HaroldRamis,BrianDoyle-Murray,ChevyChase,UnitedStates,6000000.0,39846344.0,OrionPictures,98.0,July,4,33846344,masterpiece
Fridaythe13th,Horror,1980,6.4,123000.0,SeanSCunningham,VictorMiller,BetsyPalmer,UnitedStates,550000.0,39754601.0,ParamountPictures,95.0,May,5,39204601,masterpiece
TheBluesBrothers,Action,1980,7.9,188000.0,JohnLandis,DanAykroyd,JohnBelushi,UnitedStates,27000000.0,115229890.0,UniversalPictures,133.0,June,6,88229890,masterpiece
RagingBull,Biography,1980,8.2,330000.0,MartinScorsese,JakeLaMotta,RobertDeNiro,UnitedStates,18000000.0,23402427.0,Chartoff-WinklerProductions,129.0,December,7,5402427,success
SupermanII,Action,1980,6.8,101000.0,RichardLester,JerrySiegel,GeneHackman,UnitedStates,54000000.0,108185706.0,DovemeadFilms,127.0,June,8,54185706,masterpiece
TheLongRiders,Biography,1980,7.0,10000.0,WalterHill,BillBryden,DavidCarradine,UnitedStates,10000000.0,15795189.0,UnitedArtists,100.0,May,9,5795189,masterpiece
AnyWhichWayYouCan,Action,1980,6.1,18000.0,BuddyVanHorn,StanfordSherman,ClintEastwood,UnitedStates,15000000.0,70687344.0,TheMalpasoCompany,116.0,December,10,55687344,masterpiece
TheGodsMustBeCrazy,Adventure,1980,7.3,54000.0,JamieUys,JamieUys,N!xau,SouthAfrica,5000000.0,30031783.0,CATFilms,109.0,October,11,25031783,masterpiece
